,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[ KS 규격 및 RH+(확대규격) ] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,공칭치수,표준단면치수,,,,,단면적,단위무게,단면2차모멘트,,단면 2차 반경,,단면계수,,소성단면계수,,뒤틀림상수,비틀림상수,,RH+,,,,,,,,,,,,,,,,,,
,,Norminal Size(mm),Sectional Dimension(mm),,,,,Sectional Area(cm2),"Unit
Weight 
(kg/m)","2nd Moment of Inertia
(cm4)",,"Radius of 
Gyration  (cm)",,"Modulus of
Section
(cm³ )",,Plastic Section Modulus(mm3x103),,"Warping
Constant
(cm6,x103)","Torsional
Constant
(cm⁴)",2차,,,,,,,,,,,,,,,,,,,
,,,H,B,t1,t2,r,A,W,Ix,Iy,ix,iy,Sx,Sy,Zx,Zy,A,A,57 ,55 ,,,,,,,,,,,,,,,,,,
,,,305 ,102 ,6 ,7 ,11 ,32.78 , 25.7 ,"4,616 ",125 ,11.87 ,1.95 ,302.7 ,24.4 ,355 ,40 ,27.49 ,6.18 ,X,X,,,,,,,,,,,,,,,,,,
,,,309 ,102 ,6 ,9 ,11 ,36.86 , 28.9 ,"5,577 ",160 ,12.30 ,2.08 ,361.0 ,31.4 ,417 ,50 ,35.82 ,8.74 ,X,X,,,,,,,,,,,,,,,,,,
,,,313 ,103 ,7 ,11 ,11 ,44.07 , 34.6 ,"6,819 ",202 ,12.44 ,2.14 ,435.7 ,39.1 ,505 ,63 ,45.68 ,14.69 ,X,X,,,,,,,,,,,,,,,,,,
,,300 x 150,298 ,149 ,5.5 ,8 ,13 ,40.80 , 32.0 ,"6,318 ",442 ,12.44 ,3.29 ,424.0 ,59.3 ,475 ,92 ,92.73 ,8.79 ,,,,,,,,,,,,,,,,,,,,
,,,300 ,150 ,6.5 ,9 ,13 ,46.78 , 36.7 ,"7,209 ",508 ,12.41 ,3.29 ,480.6 ,67.7 ,542 ,105 ,107.17 ,12.73 ,,,,,,,,,,,,,,,,,,,,
,,300 x 200,294 ,200 ,8 ,12 ,18 ,72.38 , 56.8 ,"11,338 ","1,603 ",12.52 ,4.71 ,771.3 ,160.3 ,859 ,247 ,318.10 ,36.13 ,,,,,,,,,,,,,,,,,,,,
,,,298 ,201 ,9 ,14 ,18 ,83.36 , 65.4 ,"13,311 ","1,899 ",12.64 ,4.77 ,893.4 ,188.9 ,"1,000 ",291 ,382.07 ,53.63 ,,,,,,,,,,,,,,,,,,,,
,,300 x 300,294 ,302 ,12 ,12 ,18 ,107.70 , 84.5 ,"16,864 ","5,516 ",12.51 ,7.16 ,"1,150.0 ",365.3 ,"1,277 ",560 ,"1,100.00 ",69.05 ,,,,,,,,,,,,,,,,,,,,
,,,298 ,299 ,9 ,14 ,18 ,110.80 , 87.0 ,"18,849 ","6,241 ",13.04 ,7.51 ,"1,270.0 ",417.5 ,"1,389 ",634 ,"1,260.00 ",71.56 ,,,,,,,,,,,,,,,,,,,,
,,,300 ,300 ,10 ,15 ,18 ,119.80 , 94.0 ,"20,410 ","6,755 ",13.05 ,7.51 ,"1,360.0 ",450.3 ,"1,501 ",684 ,"1,370.00 ",89.02 ,,,,,,,,,,,,,,,,,,,,
,,,300 ,305 ,15 ,15 ,18 ,134.80 , 106.0 ,"21,535 ","7,105 ",12.64 ,7.26 ,"1,440.0 ",465.9 ,"1,614 ",716 ,"1,440.00 ",128.30 ,,,,,,,,,,,,,,,,,,,,
,,,304 ,301 ,11 ,17 ,18 ,134.80 , 106.0 ,"23,380 ","7,733 ",13.17 ,7.57 ,"1,540.0 ",513.8 ,"1,706 ",781 ,"1,590.00 ",125.41 ,,,,,,,,,,,,,,,,,,,,
,,,310 ,305 ,15 ,20 ,18 ,165.30 , 130.0 ,"28,629 ","9,469 ",13.16 ,7.57 ,"1,850.0 ",620.9 ,"2,079 ",949 ,"1,990.00 ",221.52 ,,,,,,,,,,,,,,,,,,,,
,,,310 ,310 ,20 ,20 ,18 ,180.80 , 142.0 ,"29,870 ","9,954 ",12.85 ,7.42 ,"1,930.0 ",642.2 ,"2,199 ",992 ,"2,090.00 ",293.42 ,,,,,,,,,,,,,,,,,,,,
,,350 x 175,346 ,174 ,6 ,9 ,14 ,52.68 , 41.4 ,"11,094 ",792 ,14.51 ,3.88 ,641.3 ,91.0 ,716 ,140 ,224.36 ,13.74 ,,,,,,,,,,,,,,,,,,,,
,,,350 ,175 ,7 ,11 ,14 ,63.14 , 49.6 ,"13,559 ",984 ,14.65 ,3.95 ,774.8 ,112.5 ,868 ,174 ,282.29 ,23.04 ,,,,,,,,,,,,,,,,,,,,
,,,354 ,176 ,8 ,13 ,14 ,73.68 , 57.8 ,"16,097 ","1,184 ",14.78 ,4.01 ,909.4 ,134.5 ,"1,022 ",208 ,343.38 ,36.11 ,,,,,,,,,,,,,,,,,,,,
,,350 x 250,336 ,249 ,8 ,12 ,20 ,88.15 , 69.2 ,"18,504 ","3,092 ",14.49 ,5.92 ,"1,100.0 ",248.3 ,"1,215 ",380 ,810.32 ,44.92 ,,,,,,,,,,,,,,,,,,,,
,,,340 ,250 ,9 ,14 ,20 ,101.50 , 79.7 ,"21,676 ","3,651 ",14.61 ,6.00 ,"1,280.0 ",292.1 ,"1,412 ",447 ,968.66 ,66.43 ,,,,,,,,,,,,,,,,,,,,
,,350 x 320,333 ,312 ,18 ,28 ,19 ,227.70 , 179.0 ,"44,494 ","14,193 ",13.98 ,7.89 ,"2,670.0 ",909.8 ,"3,051 ","1,389 ","3,300.00 ",553.85 ,2 ,X,,,,,,,,,,,,,,,,,,
,,,341 ,314 ,20 ,32 ,19 ,259.50 , 204.0 ,"52,242 ","16,537 ",14.19 ,7.98 ,"3,060.0 ","1,050.0 ","3,530 ","1,610 ","3,940.00 ",811.65 ,2 ,X,,,,,,,,,,,,,,,,,,
,,,349 ,316 ,22 ,36 ,19 ,291.60 , 229.0 ,"60,426 ","18,965 ",14.40 ,8.06 ,"3,460.0 ","1,200.0 ","4,024 ","1,836 ","4,640.00 ","1,140.00 ",2 ,X,,,,,,,,,,,,,,,,,,
,,,357 ,318 ,24 ,40 ,19 ,324.00 , 254.0 ,"69,060 ","21,479 ",14.60 ,8.14 ,"3,870.0 ","1,350.0 ","4,534 ","2,067 ","5,390.00 ","1,550.00 ",2 ,X,,,,,,,,,,,,,,,,,,
,,,365 ,321 ,27 ,44 ,19 ,360.40 , 283.0 ,"78,564 ","24,311 ",14.76 ,8.21 ,"4,300.0 ","1,510.0 ","5,093 ","2,323 ","6,250.00 ","2,090.00 ",2 ,X,,,,,,,,,,,,,,,,,,
,,,373 ,324 ,30 ,48 ,19 ,397.20 , 312.0 ,"88,604 ","27,284 ",14.94 ,8.29 ,"4,750.0 ","1,680.0 ","5,671 ","2,588 ","7,190.00 ","2,740.00 ",2 ,X,,,,,,,,,,,,,,,,,,
,,,383 ,327 ,33 ,53 ,19 ,441.10 , 346.0 ,"101,582 ","30,983 ",15.18 ,8.38 ,"5,300.0 ","1,890.0 ","6,394 ","2,915 ","8,410.00 ","3,700.00 ",2 ,X,,,,,,,,,,,,,,,,,,
,,,391 ,329 ,35 ,57 ,19 ,475.10 , 373.0 ,"112,374 ","33,945 ",15.38 ,8.45 ,"5,750.0 ","2,060.0 ","6,976 ","3,176 ","9,440.00 ","4,570.00 ",2 ,X,,,,,,,,,,,,,,,,,,
,,350 x 350,338 ,351 ,13 ,13 ,20 ,135.30 , 106.0 ,"28,190 ","9,380 ",14.43 ,8.33 ,"1,670.0 ",534.5 ,"1,851 ",818 ,"2,470.00 ",101.44 ,,,,,,,,,,,,,,,,,,,,
,,,344 ,348 ,10 ,16 ,20 ,146.00 , 115.0 ,"33,295 ","11,245 ",15.10 ,8.78 ,"1,940.0 ",646.2 ,"2,122 ",980 ,"3,020.00 ",121.04 ,,,,,,,,,,,,,,,,,,,,
,,,344 ,354 ,16 ,16 ,20 ,166.60 , 131.0 ,"35,330 ","11,846 ",14.56 ,8.43 ,"2,050.0 ",669.3 ,"2,299 ","1,027 ","3,180.00 ",180.25 ,,,,,,,,,,,,,,,,,,,,
,,,350 ,350 ,12 ,19 ,20 ,173.90 , 137.0 ,"40,295 ","13,586 ",15.22 ,8.84 ,"2,300.0 ",776.3 ,"2,545 ","1,179 ","3,720.00 ",199.75 ,,,,,,,,,,,,,,,,,,,,
,,,350 ,357 ,19 ,19 ,20 ,198.40 , 156.0 ,"42,796 ","14,433 ",14.69 ,8.53 ,"2,450.0 ",808.6 ,"2,760 ","1,244 ","3,950.00 ",294.05 ,,,,,,,,,,,,,,,,,,,,
,,400 x 140,399 ,140 ,6 ,9 ,14 ,49.74 , 39.0 ,"12,940 ",413 ,16.13 ,2.88 ,648.6 ,59.0 ,741 ,93 ,156.51 ,12.47 ,X,X,,,,,,,,,,,,,,,,,,
,,,403 ,141 ,7 ,11 ,14 ,59.37 , 46.6 ,"15,737 ",516 ,16.28 ,2.95 ,781.0 ,73.2 ,894 ,115 ,197.43 ,20.63 ,X,X,,,,,,,,,,,,,,,,,,
,,400 x 200,396 ,199 ,7 ,11 ,16 ,72.16 , 56.6 ,"20,019 ","1,447 ",16.66 ,4.48 ,"1,010.0 ",145.4 ,"1,128 ",224 ,535.38 ,27.05 ,,,,,,,,,,,,,,,,,,,,
,,,400 ,200 ,8 ,13 ,16 ,84.12 , 66.0 ,"23,704 ","1,736 ",16.79 ,4.54 ,"1,190.0 ",173.6 ,"1,326 ",268 ,649.00 ,42.05 ,,,,,,,,,,,,,,,,,,,,
,,,*404,201 ,9 ,15 ,16 ,96.16 , 75.5 ,"27,500 ","2,030 ",16.91 ,4.60 ,"1,360.0 ",202.0 ,"1,530 ",312 ,770.00 ,62.30 ,,,,,,,,,,,,,,,,,,,,
,,400 x 300,*386,299 ,9 ,14 ,22 ,120.10 , 94.3 ,"33,700 ","6,240 ",16.70 ,7.21 ,"1,750.0 ",418.0 ,"1,920 ",637 ,"2,160.00 ",79.90 ,,,,,,,,,,,,,,,,,,,,
,,,390 ,300 ,10 ,16 ,22 ,136.00 , 107.0 ,"38,674 ","7,208 ",16.86 ,7.28 ,"1,980.0 ",480.5 ,"2,188 ",733 ,"2,520.00 ",113.27 ,,,,,,,,,,,,,,,,,,,,
